Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x2bfb7052809be3ac015620497c3f86e7b985deedd83160db8407bc72366f00f9","Success","0xe19c2253","311608287","2025-03-02 22:19:51","0xa03D00436a3f2d6bE803561819c0775C77936758","","0xCc6058256B079F12aFf2E1aa4D9E1bf0BbD78203","","1","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: Аrb...rum"
"0x2f639502d9bcfbadc6f0c90eeb3187938b789efb338f3b58882ea172d565c782","Success","0x0cf79e0a","311574135","2025-03-02 19:57:02","0xa03D00436a3f2d6bE803561819c0775C77936758","","0x7ce711Dc3A296a4B91bB0474347f378925b18203","","6,269.51049806","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: ARB"
"0xbc0488363b8328c671890e79f8471ea09e10a849dd4adcdcaea47f61d96bd82e","Success","0xe19c2253","311573657","2025-03-02 19:55:02","0xa03D00436a3f2d6bE803561819c0775C77936758","","0xCc6058256B079F12aFf2E1aa4D9E1bf0BbD78203","","6,269.510498","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: Аrb...rum"
"0x5231ce8a5c23cf62b63e0c794ced1ebdaff776ef6a8bf4a88bffa9096489db14","Success","0x0cf79e0a","311568125","2025-03-02 19:31:54","0xa03D00436a3f2d6bE803561819c0775C77936758","","0x7ce711Dc3A296a4B91bB0474347f378925b18203","","6,269.51049806","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: ARB"
"0x0bc412ae42e99084389bca54294e19dc104cad544b1a6a6c3aa121a3a4588376","Success","0xe19c2253","311505283","2025-03-02 15:10:00","0xa03D00436a3f2d6bE803561819c0775C77936758","","0xCc6058256B079F12aFf2E1aa4D9E1bf0BbD78203","","6,269.510498","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: Аrb...rum"
"0x72a8750574c1ce3cccb6f6ec3f74fb7da67fe05a6e8a47b5741efbb41fc6541c","Success","0x0cf79e0a","311497511","2025-03-02 14:37:32","0xa03D00436a3f2d6bE803561819c0775C77936758","","0x7ce711Dc3A296a4B91bB0474347f378925b18203","","6,269.51049806","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: ARB"
"0xd2a96f46dd2f841ffc144721dfa009a5d6d89b674ca384ca88d39ec55e3f0cf1","Success","0xe19c2253","311497099","2025-03-02 14:35:48","0xa03D00436a3f2d6bE803561819c0775C77936758","","0xCc6058256B079F12aFf2E1aa4D9E1bf0BbD78203","","6,269.510498","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: Аrb...rum"
"0xe9fe0abfdc922b4a048779d1f8cf8d109babe6058af6a52cfd3dc75fd4f0921e","Success","0x0cf79e0a","311486982","2025-03-02 13:53:30","0xa03D00436a3f2d6bE803561819c0775C77936758","","0x7ce711Dc3A296a4B91bB0474347f378925b18203","","6,269.51049806","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: ARB"
"0xd4cbc498c4079e0507b556a27f3de8834b5fb3000e5648996a51d7b858484a3e","Success","0xe19c2253","311486621","2025-03-02 13:51:59","0xa03D00436a3f2d6bE803561819c0775C77936758","","0xCc6058256B079F12aFf2E1aa4D9E1bf0BbD78203","","6,269.510498","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: Аrb...rum"
"0x23267c697d9044e5421e390888b5d851b0ced08f852b19397d0bae1bf39ef469","Success","0x0cf79e0a","311476890","2025-03-02 13:11:18","0xa03D00436a3f2d6bE803561819c0775C77936758","","0x7ce711Dc3A296a4B91bB0474347f378925b18203","","6,269.51049806","$0.00","<img src='/assets/arbitrum/images/svg/empty-token.svg?v=25.3.1.1' width='18' height='18' class='rounded-circle'>ERC-20: ARB"
