Maintainer username,Maintainer name,Total dependencies maintained,Goal progress,Goal description,Total sponsors,Total organization sponsors,Sponsorship amount in USD
sindresorhus,Sindre Sorhus,314,,,229,38,
jonschlinkert,Jon Schlinkert,178,29,100 monthly sponsors,31,16,
ljharb,Jordan Harband,156,,,83,21,
unifiedjs,unified,122,,,32,14,
isaacs,,72,,,24,12,
wooorm,Titus,46,,,27,9,
mafintosh,Mathias Buus,33,50,20 monthly sponsors,10,6,
doowb,Brian Woodward,32,,,8,7,
yocontra,contra,26,,,5,5,
gulpjs,gulp,24,85,20 monthly sponsors,17,7,
phated,Blaine Bublitz,24,50,10 monthly sponsors,5,4,
ant-design,Ant Design Team,22,,,3,0,
LinusU,Linus Unnebäck,22,,,6,5,
mathiasbynens,Mathias Bynens,19,3,420 monthly sponsors,14,8,
lukeed,Luke Edwards,19,,,23,7,
Qix-,Josh Junon,15,,,17,8,
medikoo,Mariusz Nowak,15,,,8,6,
indutny,Fedor Indutny,14,,,11,6,
fb55,Felix Boehm,13,46,15 monthly sponsors,7,4,
paulmillr,Paul Miller,13,59,42 monthly sponsors,25,8,
feross,Feross Aboukhadijeh,13,28,45 monthly sponsors,14,7,
eslint,ESLint,12,,,114,28,
tapjs,TAP in JavaScript,12,,,3,3,
juliangruber,Julian Gruber,10,,,7,5,
streamich,Va Da,10,9,100 monthly sponsors,9,4,
egoist,EGOIST,10,3,"$4,000 per month",41,6,
PeculiarVentures,,10,4,50 monthly sponsors,2,1,
ai,Andrey Sitnik,9,,,22,7,
mysticatea,Toru Nagashima,9,,,7,5,
pmndrs,Poimandres,9,6,"$5,000 per month",29,6,
sphinx-doc,Sphinx,9,,,4,3,
arcanis,Maël Nison,9,,,7,2,
JounQin,,8,1,"$5,000 per month",4,4,
rx-ts,RxTS,8,1,"$5,000 per month",4,4,
un-ts,UnTS,8,1,"$5,000 per month",4,4,
ForbesLindesay,Forbes Lindesay,8,,,5,5,
IonicaBizau,Ionică Bizău (Johnny B.),8,,,3,3,
epoberezkin,Evgeny,7,,,29,9,
nodejs,Node.js,7,,,34,1,
